"ID";"Tagnr";"Dato";"Klokke";"Status";"Plottsikkerhet";"Årstall";"Lokalitet";"Art";"Kjønn";"Alder";"Vekt";"Bryst";"Ving 1";"Ving 2";"Dødsårsak";"X-koordinat";"Y-koordinat";"Kondisjon";"Høyde_stripe_kam";"Lengde_stripe_kam";"Frekvens";"organismID";"occurrenceID"
3248;"4219643";18.3.2012 00.00.00;30.12.1899 13.12.34;5;3;2012,00;44,00;"F";1,00;2,00;580,00;74,00;210,00;209,00;2,00;452888,00;7141473,00;27,68;7,50;30,70;152007;"c418520d-2421-11e7-a02d-c1c81e3148db";"c4cd7bfb-2421-11e7-a02d-c1c81e3148db"
3249;"4271258";18.3.2012 00.00.00;30.12.1899 14.00.22;1;3;2012,00;44,00;"F";1,00;2,00;550,00;72,00;200,00;202,00;3,00;457523,00;7140129,00;27,36;5,40;32,30;152024;"c418520e-2421-11e7-a02d-c1c81e3148db";"c4cda328-2421-11e7-a02d-c1c81e3148db"
3250;"4219645";18.3.2012 00.00.00;30.12.1899 13.54.40;1;3;2012,00;44,00;"F";1,00;2,00;505,00;70,00;197,00;197,00;;454748,00;7139280,00;25,63;7,60;32,20;152040;"c418793a-2421-11e7-a02d-c1c81e3148db";"c4cda329-2421-11e7-a02d-c1c81e3148db"
3251;"4271295";18.3.2012 00.00.00;30.12.1899 13.04.13;1;3;2012,00;44,00;"F";1,00;2,00;575,00;73,00;204,00;205,00;3,00;447532,00;7142941,00;28,11;7,10;32,00;152109;"c418793b-2421-11e7-a02d-c1c81e3148db";"c4cdca4c-2421-11e7-a02d-c1c81e3148db"
3252;"4271273";18.3.2012 00.00.00;30.12.1899 14.14.56;1;3;2012,00;44,00;"F";2,00;1,00;525,00;72,00;190,00;189,00;3,00;454383,00;7143689,00;27,70;;;152141;"c418793c-2421-11e7-a02d-c1c81e3148db";"c4cdca4d-2421-11e7-a02d-c1c81e3148db"
3253;"4271265";18.3.2012 00.00.00;30.12.1899 13.22.28;1;3;2012,00;44,00;"F";1,00;1,00;575,00;73,00;204,00;205,00;3,00;453125,00;7142119,00;28,11;8,50;31,20;152149;"c418a05e-2421-11e7-a02d-c1c81e3148db";"c4cdca4e-2421-11e7-a02d-c1c81e3148db"
3254;"4271261";18.3.2012 00.00.00;30.12.1899 13.18.55;1;3;2012,00;44,00;"F";2,00;2,00;455,00;72,00;197,00;197,00;;451840,00;7141962,00;23,09;;;152190;"c418a05f-2421-11e7-a02d-c1c81e3148db";"c4cdf170-2421-11e7-a02d-c1c81e3148db"
3255;"4271284";18.3.2012 00.00.00;30.12.1899 13.28.07;1;3;2012,00;44,00;"F";1,00;2,00;615,00;79,00;;;1,00;453808,00;7138781,00;;7,80;32,20;152229;"c418a060-2421-11e7-a02d-c1c81e3148db";"c4cdf171-2421-11e7-a02d-c1c81e3148db"
3256;"4271271";18.3.2012 00.00.00;30.12.1899 12.54.04;1;3;2012,00;44,00;"F";1,00;2,00;570,00;76,00;205,00;204,00;1,00;453814,00;7143744,00;27,87;7,20;31,10;152238;"c418c7a0-2421-11e7-a02d-c1c81e3148db";"c4cdf172-2421-11e7-a02d-c1c81e3148db"
3257;"4271270";18.3.2012 00.00.00;30.12.1899 14.41.29;1;3;2012,00;44,00;"F";2,00;2,00;605,00;75,00;;195,00;;449415,00;7143840,00;31,02;;;152248;"c418c7a1-2421-11e7-a02d-c1c81e3148db";"c4ce189e-2421-11e7-a02d-c1c81e3148db"
